# category	source	package
ai	aur	cursor-bin
ai	aur	lmstudio-bin
ai	aur	openai-codex-bin
ai	aur	stabilitymatrix-bin
ai	aur	t3code-bin
apps	chaotic	blockbench-bin
apps	official	bitwarden
apps	official	discord
apps	official	evince
apps	official	gimp
apps	official	kdenlive
apps	official	kdeconnect
apps	official	krita
apps	official	libresprite
apps	official	localsend
apps	official	moonlight-qt
apps	official	mullvad-vpn
apps	official	okular
apps	official	obsidian
apps	official	onlyoffice-bin
apps	official	scrcpy
apps	official	spotify-launcher
apps	official	telegram-desktop
apps	official	zotero
cli-tools	official	7zip
cli-tools	official	bat
cli-tools	official	btop
cli-tools	official	dua-cli
cli-tools	official	eza
cli-tools	official	fastfetch
cli-tools	official	fd
cli-tools	official	fzf
cli-tools	official	gdu
cli-tools	official	git-delta
cli-tools	official	github-cli
cli-tools	official	jless
cli-tools	official	jq
cli-tools	official	lazydocker
cli-tools	official	lazygit
cli-tools	official	libqalculate
cli-tools	official	plocate
cli-tools	official	ripgrep
cli-tools	official	smartmontools
cli-tools	official	television
cli-tools	official	tokei
cli-tools	official	unrar
cli-tools	official	unzip
cli-tools	official	xdg-user-dirs
cli-tools	official	xh
cli-tools	official	yazi
cli-tools	official	zip
common	official	base-devel
common	official	curl
common	official	distrobox
common	official	git
common	official	git-lfs
common	official	keyd
common	official	openssh
common	official	rsync
common	official	stow
common	official	sudo
common	official	tailscale
common	official	wget
desktop-common	aur	bibata-cursor-git
desktop-common	aur	kvantum-theme-libadwaita-git
desktop-common	aur	limux-bin
desktop-common	chaotic	app2unit-git
desktop-common	chaotic	emote
desktop-common	chaotic	helium-browser-bin
desktop-common	chaotic	nautilus-open-any-terminal
desktop-common	chaotic	xdg-terminal-exec-git
desktop-common	chaotic	zen-browser-bin
desktop-common	chaotic	zoom
desktop-common	official	accountsservice
desktop-common	official	adw-gtk-theme
desktop-common	official	blueman
desktop-common	official	cliphist
desktop-common	official	ffmpegthumbnailer
desktop-common	official	file-roller
desktop-common	official	greetd
desktop-common	official	grim
desktop-common	official	gvfs-mtp
desktop-common	official	imv
desktop-common	official	kvantum
desktop-common	official	lan-mouse
desktop-common	official	libnotify
desktop-common	official	matugen
desktop-common	official	mpv
desktop-common	official	nautilus
desktop-common	official	network-manager-applet
desktop-common	official	noto-fonts-cjk
desktop-common	official	noto-fonts-emoji
desktop-common	official	noto-fonts-extra
desktop-common	official	pavucontrol
desktop-common	official	playerctl
desktop-common	official	pipewire
desktop-common	official	pipewire-pulse
desktop-common	official	qpwgraph
desktop-common	official	quickshell
desktop-common	official	qt6ct
desktop-common	official	satty
desktop-common	official	seahorse
desktop-common	official	sushi
desktop-common	official	ttf-jetbrains-mono-nerd
desktop-common	official	uwsm
desktop-common	official	wev
desktop-common	official	wiremix
desktop-common	official	wl-clipboard
desktop-common	official	xclip
desktop-common	official	xdg-desktop-portal-gtk
desktop-common	official	xwayland-satellite
dev	aur	gitbutler-bin
dev	aur	jd-gui-bin
dev	aur	jetbrains-toolbox
dev	chaotic	visual-studio-code-bin
dev	official	aspnet-runtime
dev	official	aspnet-targeting-pack
dev	official	dotnet-sdk
dev	official	dotnet-sdk-8.0
dev	official	httpie
dev	official	cmake
dev	official	jdk21-openjdk
dev	official	just
dev	official	meson
dev	official	mise
dev	official	minicom
dev	official	mongodb
dev	official	mqttui
dev	official	mysql-clients
dev	official	mysql-workbench
dev	official	openocd
dev	official	podman-desktop
dev	official	python-pipx
dev	official	python-pyqt6
dev	official	python-virtualenv
dev	official	tesseract
gaming	aur	archipelagomw-bin
gaming	aur	bizhawk-bin
gaming	aur	ringracers
gaming	aur	ps3dec-git
gaming	aur	tetrio-desktop
gaming	chaotic	heroic-games-launcher-bin
gaming	chaotic	packwiz-git
gaming	chaotic	protontricks-git
gaming	chaotic	remoteplaywhatever
gaming/flatpak	flatpak	app.xemu.xemu
gaming/flatpak	flatpak	com.github.libresprite.LibreSprite
gaming/flatpak	flatpak	com.github.tchx84.Flatseal
gaming/flatpak	flatpak	com.obsproject.Studio
gaming/flatpak	flatpak	com.usebottles.bottles
gaming/flatpak	flatpak	com.vysp3r.ProtonPlus
gaming/flatpak	flatpak	dev.ftb.ftb-app
gaming/flatpak	flatpak	io.github.shiiion.primehack
gaming/flatpak	flatpak	moe.launcher.sleepy-launcher
gaming/flatpak	flatpak	net.kuribo64.melonDS
gaming/flatpak	flatpak	org.DolphinEmu.dolphin-emu
gaming/flatpak	flatpak	org.libretro.RetroArch
gaming/flatpak	flatpak	org.ppsspp.PPSSPP
gaming/flatpak	flatpak	page.kramo.Cartridges
gaming	lizardbyte	sunshine
gaming	official	dolphin-emu
gaming	official	flite
gaming	official	lib32-mesa
gaming	official	lutris
gaming	official	prismlauncher
gaming	official	retroarch
gaming	official	retroarch-assets-ozone
gaming	official	steam
gaming	official	zerotier-one
hardware/bluetooth	official	bluez
hardware/bluetooth	official	bluez-utils
hardware/intel-gpu	official	intel-media-driver
hardware/intel-gpu	official	lib32-vulkan-intel
hardware/intel-gpu	official	vulkan-intel
hardware/laptop	official	brightnessctl
hardware/laptop	official	sof-firmware
hardware/laptop	official	tlp
hardware/laptop	official	tlp-pd
hardware/nvidia-gpu	official	lib32-nvidia-utils
hardware/nvidia-gpu	official	libvdpau
hardware/nvidia-gpu	official	libva-nvidia-driver
hardware/nvidia-gpu	official	nvidia-open
hardware/nvidia-gpu	official	nvidia-prime
hardware/nvidia-gpu	official	nvidia-settings
hardware/nvidia-gpu	official	nvidia-utils
hardware	official	amd-ucode
hardware	official	intel-ucode
hardware	official	ckb-next
hardware	official	calf
hardware	official	easyeffects
hardware	official	lsp-plugins-lv2
hardware	official	nvtop
hardware/power-profiles	official	power-profiles-daemon
hyprland	aur	dms-shell-bin
hyprland	aur	dsearch-bin
hyprland	aur	greetd-dms-greeter-git
hyprland	official	awww
hyprland	official	hypridle
hyprland	official	hyprland
hyprland	official	hyprlock
hyprland	official	hyprpicker
hyprland	official	hyprpolkitagent
hyprland	official	xdg-desktop-portal-hyprland
niri	official	niri
niri	official	xdg-desktop-portal-gnome
security/firewall	aur	ufw-docker
security/firewall	official	iptables-nft
security/firewall	official	ufw
shell	official	ghostty
shell	official	neovim
shell	official	nushell
shell	official	starship
shell	official	tmux
shell	official	zoxide
shell	official	zsh
sources	chaotic	chaotic-keyring
sources	chaotic	chaotic-mirrorlist
sources	chaotic	paru
sources	official	flatpak
virtualization/containers	official	docker
virtualization/containers	official	docker-buildx
virtualization/containers	official	docker-compose
virtualization/containers	official	nvidia-container-toolkit
virtualization/containers	official	podman
virtualization/virtual-machines	official	dnsmasq
virtualization/virtual-machines	official	libguestfs
virtualization/virtual-machines	official	qemu-desktop
virtualization/virtual-machines	official	swtpm
virtualization/virtual-machines	official	virt-manager
virtualization/virtualbox	chaotic	virtualbox-ext-oracle
virtualization/virtualbox	official	virtualbox
virtualization/virtualbox	official	virtualbox-guest-iso
virtualization/windows-app-virtualization	aur	winboat-bin
